78	78	36	0.43	5.2	12.1	0.6	2.3	5.1	6	5.1	0.8	4.3	7.8	2.2	0.1	2.3	2.8	16.1	35	43	22.1	0.178	1
81	36	29.1	0.463	5.4	11.6	0.9	2.6	1.4	2	6.4	2.2	4.2	1.1	0.7	0.8	1.2	3	13	26	55	16.4	0.079	0
65	14	24.2	0.477	4.7	9.8	0	0.1	2.9	3.5	5.8	2.1	3.6	0.8	0.5	0.7	1.5	3.1	12.3	19	46	18.1	0.108	0
80	54	30.1	0.391	4.3	11	1.2	3.4	2	2.8	3.3	1	2.4	5.6	1.3	0.1	2.3	2.3	11.9	26	54	14.2	0.051	0
80	47	28.9	0.421	4.2	10.1	1.1	2.7	1.2	1.7	2.4	0.4	2	4.5	0.8	0.2	1.8	2.9	10.8	39	41	12.4	0.059	1
61	1	20.3	0.415	3.3	8.1	1.3	3.5	1.6	1.8	1.9	0.2	1.7	1.2	0.4	0	1.3	1.9	9.7	20	41	12.5	0.046	0
82	77	28.6	0.533	3.9	7.4	0	0	1.5	2.4	7	2.3	4.7	2.3	0.6	0.8	1.5	3.2	9.4	40	42	15.2	0.113	0
72	26	21.4	0.407	3.2	7.8	0.8	2	2.1	2.8	2.3	0.8	1.5	2	0.8	0	1.6	2.8	9.3	21	51	12.6	0.046	0
7	0	19.3	0.412	3	7.3	0.9	2.4	2	2.3	2.6	0.4	2.1	0.7	0.1	0	1.1	1.1	8.9	1	6	0.7	-0.062	0
80	27	28.9	0.403	3.2	7.9	1.4	3.9	1.1	1.5	3.3	0.4	2.9	2.7	1.1	0.1	1.5	2.1	8.8	32	48	11.2	0.072	0
79	7	24.7	0.443	3	6.7	0.2	0.7	2.4	3.2	4.8	1.5	3.3	0.8	0.6	0.3	1.1	2.9	8.5	25	54	12.2	0.069	0
23	1	17.3	0.409	3	7.4	0	0.2	2.1	2.8	4.7	1.8	2.9	1	0.7	0.5	1.4	2.5	8.2	7	16	15.3	0.047	0
79	12	17.2	0.45	3.1	6.8	0.8	2.3	1	1.3	1.8	0.4	1.4	0.8	0.6	0.3	1.1	2.2	7.9	31	48	12.6	0.058	0
61	33	22.6	0.487	2.8	5.8	0	0.1	1.8	2.4	4.9	1.7	3.2	1	0.6	0.1	0.9	1.4	7.6	26	35	14	0.108	0
78	17	22.6	0.462	2.8	6.1	0.4	1.2	1.5	1.9	4.9	1.7	3.2	1.2	0.7	0.8	1	2.7	7.5	39	39	14.7	0.139	1
69	14	14.9	0.524	2.5	4.8	0	0	2	2.4	3.3	1.4	1.9	0.4	0.2	0.4	1.1	2.4	7	26	43	15.8	0.123	0
49	3	18.1	0.415	2.7	6.5	0.6	1.7	0.9	1.2	2.1	0.4	1.7	1.6	0.7	0.2	1.2	1.4	6.8	16	33	11.1	0.028	0
3	0	13	0.7	2.3	3.3	0.7	1	1.3	1.3	1.3	1	0.3	1	0	0.7	1.3	2.3	6.7	1	2	20.3	0.208	0
80	24	19.8	0.478	2.5	5.2	0.4	1.1	1.4	1.7	3.1	0.7	2.3	0.8	0.5	0.2	1.2	2.9	6.7	26	54	10.2	0.038	0
79	4	20.2	0.442	2.4	5.4	0.3	1	1.6	2	2	0.2	1.8	2.8	0.5	0	1.3	1.7	6.7	20	59	12.3	0.035	0
61	18	17.5	0.399	2.3	5.7	1.1	3	1	1.2	2.1	0.5	1.7	0.6	0.3	0.2	0.7	1.5	6.6	11	50	11.6	0.039	0
67	11	19.4	0.4	1.9	4.9	0.6	2	1.2	1.5	2.8	0.6	2.2	1.4	0.6	0.7	1.1	2	5.6	36	31	10.3	0.06	0
32	3	11.7	0.478	2.1	4.3	0.2	0.6	0.9	1.2	1.3	0.3	1	0.6	0.4	0.1	0.7	1.3	5.2	13	19	13.1	0.064	0
68	41	18.9	0.51	2.3	4.4	0	0	0.7	1.1	4.4	1.6	2.8	0.2	0.4	0.8	0.9	3.1	5.2	26	42	10.4	0.037	0
67	14	16.9	0.596	2	3.4	0	0	1.1	1.8	4.5	1.6	2.9	0.6	0.4	0.3	0.8	1.9	5.1	21	46	15.4	0.116	1
68	2	10.6	0.443	1.5	3.4	0	0	1.1	1.7	2.1	0.6	1.5	0.4	0.2	0.3	0.8	1.7	4.1	42	26	11	0.053	0
23	0	10.7	0.42	1.3	3	1.1	2.5	0.2	0.3	0.9	0.2	0.7	0.7	0.3	0	0.4	1	3.8	9	14	12.6	0.115	0
66	5	14.7	0.38	1.5	3.9	0.3	1.2	0.5	0.7	1.3	0.3	0.9	1.3	0.6	0.1	0.9	1.3	3.8	39	27	7.6	0.017	0
61	2	8.5	0.445	1.3	2.8	0	0.2	0.9	1.3	1.9	0.6	1.3	0.2	0.2	0.2	0.3	1.4	3.5	33	28	13.2	0.111	0
23	0	8.8	0.368	1.2	3.3	0.2	0.9	0.8	1	1.7	0.8	0.9	0.7	0.3	0.1	0.4	0.9	3.4	7	16	13.8	0.076	0
43	2	9.6	0.483	1.3	2.8	0	0	0.7	0.8	2	0.9	1.2	0.2	0.3	0	0.6	1.6	3.4	26	17	11.5	0.096	0
