Klay Thompson,29,24.4,0.443,4.8,10.9,1.7,4.1,1.2,1.4,2.4,0.4,2.1,2,0.7,0.3,1.6,2.3,12.5,23,43,14.9,0.05,1
Isaiah Thomas,37,25.5,0.448,3.9,8.8,1.3,3.4,2.4,2.8,2.6,0.7,1.8,4.1,0.8,0.1,1.6,1.9,11.5,22,43,17.6,0.124,1
Kawhi Leonard,39,24,0.493,3.1,6.3,0.6,1.7,1.1,1.4,5.1,1.6,3.5,1.1,1.3,0.4,0.7,1.4,7.9,49,15,16.6,0.171,1
Jimmy Butler,0,8.5,0.405,0.8,1.9,0,0.3,1,1.3,1.3,0.5,0.8,0.3,0.3,0.1,0.3,0.5,2.6,30,12,12.5,0.144,1
Damian Lillard,82,38.6,0.429,6.7,15.7,2.3,6.1,3.3,3.9,3.1,0.5,2.6,6.5,0.9,0.2,3,2.1,19,33,49,16.4,0.088,1
Anthony Davis,60,28.9,0.516,5.5,10.6,0,0.1,2.6,3.5,8.2,2.6,5.6,1,1.2,1.8,1.4,2.5,13.5,23,41,21.7,0.159,1
Andre Drummond,10,20.7,0.608,3.5,5.7,0,0,1,2.7,7.6,2.8,4.8,0.5,1,1.6,1,2.4,7.9,23,37,21.6,0.172,1
Draymond Green,1,13.4,0.327,1.1,3.3,0.2,0.8,0.6,0.7,3.3,0.7,2.6,0.7,0.5,0.3,0.6,2,2.9,45,34,7.1,0.028,1
Charlie Villanueva,36,29.1,0.463,5.4,11.6,0.9,2.6,1.4,2,6.4,2.2,4.2,1.1,0.7,0.8,1.2,3,13,26,55,16.4,0.079,0
Channing Frye,14,24.2,0.477,4.7,9.8,0,0.1,2.9,3.5,5.8,2.1,3.6,0.8,0.5,0.7,1.5,3.1,12.3,19,46,18.1,0.108,0
Raymond Felton,54,30.1,0.391,4.3,11,1.2,3.4,2,2.8,3.3,1,2.4,5.6,1.3,0.1,2.3,2.3,11.9,26,54,14.2,0.051,0
Salim Stoudamire,1,20.3,0.415,3.3,8.1,1.3,3.5,1.6,1.8,1.9,0.2,1.7,1.2,0.4,0,1.3,1.9,9.7,20,41,12.5,0.046,0
Andrew Bogut,77,28.6,0.533,3.9,7.4,0,0,1.5,2.4,7,2.3,4.7,2.3,0.6,0.8,1.5,3.2,9.4,40,42,15.2,0.113,0
